event,x_pos,y_pos,z_pos,trk_index,trk_nr
0,96.10144674057706,96.17475508879043,0.0,1,1.0
0,96.36141693342232,96.4705200357613,-8.5,1,1.0
0,96.61274277686042,96.7687206797906,-17.0,1,1.0
0,85.22132136898598,35.499331424220266,0.0,2,2.0
0,90.71000231119878,46.696786967411775,-8.5,2,2.0
0,96.22411037733607,57.88578806825449,-17.0,2,2.0
1,29.768790904683097,116.36024487811056,0.0,1,1.0
1,24.692369074347656,116.64962955661755,-8.5,1,1.0
1,19.618739108136392,116.94770481278506,-17.0,1,1.0
1,19.972721294212835,105.30783844977093,0.0,2,-1.0
1,20.721679193026876,110.035835739076,-8.5,2,-1.0
1,21.46990103875536,114.76571935810613,-17.0,2,1.0
2,19.27902332029476,14.84920324764007,0.0,1,2.0
2,28.62767698576548,15.244485295129689,-8.5,1,2.0
2,37.98404009730881,15.638196725474645,-17.0,1,2.0
2,91.4304565509627,44.759494235999206,0.0,2,1.0
2,65.90501757376778,53.66837350273054,-8.5,2,1.0
2,40.36612117551064,62.57459347166756,-17.0,2,1.0
3,141.85912383159004,51.81142304326222,0.0,1,2.0
3,139.1365983285724,51.915871550714286,-8.5,1,2.0
3,136.41953463710493,52.00898111373149,-17.0,1,2.0
3,95.90667204660492,112.8054232936738,0.0,2,1.0
3,84.36944600224575,115.8476631609484,-8.5,2,1.0
3,72.81033481475814,118.88686380097404,-17.0,2,1.0
4,104.75659936160854,80.29988427167252,0.0,1,1.0
4,103.76340195144488,116.92938701877172,-8.5,1,1.0
4,102.76816531239386,153.56716504492053,-17.0,1,1.0
4,81.93010825232008,11.765656129384595,0.0,2,2.0
4,83.2375988459697,10.809853544038178,-8.5,2,2.0
4,84.54525286420956,9.865221936041518,-17.0,2,2.0
5,71.27051319951202,125.7296070277158,0.0,1,2.0
5,89.50247819397794,133.93985243081747,-8.5,1,2.0
5,107.74513498732216,142.16075753067258,-17.0,1,2.0
5,65.93171126338628,123.34585868444336,0.0,2,1.0
5,64.43332909773831,123.33772720533284,-8.5,2,1.0
5,62.92440998110775,123.35643734225724,-17.0,2,1.0
6,75.80798946150534,124.26784619148552,0.0,1,1.0
6,51.34574250733904,121.3178141681638,-8.5,1,1.0
6,26.88425064655984,118.36796617822291,-17.0,1,1.0
6,42.894729117953936,73.09397280396325,0.0,2,2.0
6,46.8043129769376,77.77356084060872,-8.5,2,2.0
6,50.72790155549159,82.45808135530295,-17.0,2,2.0
7,73.96638818698504,23.07176057870138,0.0,1,2.0
7,76.55729288018836,17.284390011350748,-8.5,1,2.0
