event,x_pos,y_pos,z_pos,trk_index
0,52.90071425512049,117.82932239498497,0.0,1
0,52.7631996212823,119.08571812151584,-8.5,1
0,52.625012408125016,120.32973389560085,-17.0,1
1,36.60497040931004,87.66538378516185,0.0,1
1,37.7099710751113,87.68583190135871,-8.5,1
1,38.83240382719515,87.70830037221108,-17.0,1
2,11.884202014676983,78.52343983024032,0.0,1
2,9.799961158509802,71.53930113268541,-8.5,1
2,7.719372077482886,64.57860441173864,-17.0,1
3,117.4716474242049,91.6727471419359,0.0,1
3,118.69472219394767,91.11713525231416,-8.5,1
3,119.91832398258003,90.55739656087898,-17.0,1
4,86.3655385654247,124.4703571788584,0.0,1
4,80.5972312660292,122.00051830251694,-8.5,1
4,74.81668844211926,119.50597071565511,-17.0,1
5,131.5290891755053,142.88569539219736,0.0,1
5,134.74908922234403,143.39981811248592,-8.5,1
5,137.96263035226897,143.92474542488782,-17.0,1
6,125.93751691266576,63.89101591591901,0.0,1
6,129.93167242876663,59.52093157725784,-8.5,1
6,133.91149549892793,55.16950143010541,-17.0,1
7,37.90267892881316,12.012270271654568,0.0,1
7,43.35643349166878,13.368878324069756,-8.5,1
7,48.80854238278598,14.734443132951085,-17.0,1
8,46.45702561690948,8.203790489810725,0.0,1
8,46.17004927078248,8.356966584244729,-8.5,1
8,45.89466082801204,8.524252136698896,-17.0,1
9,98.14641554442572,14.18999412998074,0.0,1
9,94.47297759759385,9.03188004913731,-8.5,1
9,90.81560815542038,3.868786141720101,-17.0,1
10,33.79830562453255,134.88374281675326,0.0,1
10,24.990240243203633,123.79696489041693,-8.5,1
10,16.19735228404767,112.72099231252655,-17.0,1
11,69.9839026492245,116.03832639032865,0.0,1
11,72.87819884988964,90.57431381539564,-8.5,1
11,75.74855049316716,65.11296871966681,-17.0,1
12,93.95382573671795,128.05159934377562,0.0,1
12,96.44467743533198,129.1251983182439,-8.5,1
12,98.94266564768712,130.20838767794208,-17.0,1
13,23.69182078960914,37.69384433805393,0.0,1
13,29.825875248943607,77.52529814504895,-8.5,1
13,35.9889099864922,117.36306503081587,-17.0,1
14,58.76306291023516,142.1383551577747,0.0,1
14,42.00211030094851,153.84572432254214,-8.5,1
14,25.251553897523934,165.53457867012563,-17.0,1
15,121.80786494208357,79.80728391799359,0.0,1
15,113.68520157348881,93.72881100054421,-8.5,1
15,105.55867999439133,107.6340208188228,-17.0,1
16,75.45965043497984,130.30607229708227,0.0,1
16,75.48619271439541,130.46400755351416,-8.5,1
16,75.53184599642563,130.62230006862612,-17.0,1
17,35.36245170288903,20.41532872003539,0.0,1
17,36.820462341278464,17.362156542365152,-8.5,1
17,38.27708586019407,14.29513854609808,-17.0,1
18,66.51077862963037,56.7007419649268,0.0,1
18,69.32629375005332,60.73190250584375,-8.5,1
18,72.14441901628241,64.75578614797375,-17.0,1
19,80.54166303915086,9.076814316551653,0.0,1
19,91.81713770365903,16.800750240175876,-8.5,1
19,103.11872186342754,24.539162524953014,-17.0,1
20,107.4313668872962,123.28662725800108,0.0,1
20,106.31308862368573,122.94995756505342,-8.5,1
20,105.17836114702831,122.62058726852305,-17.0,1
21,55.65379403198632,118.58560416724049,0.0,1
21,58.028759304991844,118.14329474696076,-8.5,1
21,60.38979057357936,117.72022696825026,-17.0,1
22,32.75115076644488,39.76169233342406,0.0,1
22,25.55088013007228,29.418890670040604,-8.5,1
22,18.32587964839134,19.079833808797517,-17.0,1
23,92.32139664929707,35.75899171862942,0.0,1
23,93.47058652625749,35.9065350685667,-8.5,1
23,94.62661367251002,36.052581135583935,-17.0,1
24,87.07333106583965,133.93462997816852,0.0,1
24,91.42168033378678,128.851673336376,-8.5,1
24,95.77142427769195,123.77743619466993,-17.0,1
25,19.014247395780963,73.13065411378993,0.0,1
25,23.359963405420018,72.84477723991638,-8.5,1
25,27.694988731995398,72.56714219621672,-17.0,1
26,50.94395671647109,121.68456048231717,0.0,1
26,52.872269439300304,128.06324896521375,-8.5,1
26,54.805993113200344,134.4541737403315,-17.0,1
27,127.03030342173868,50.191701332627865,0.0,1
27,129.84194502066978,48.72114710414022,-8.5,1
27,132.6868218836398,47.269205554027,-17.0,1
28,53.10910005468399,96.52593277913758,0.0,1
28,54.80950293769033,97.6977818712871,-8.5,1
28,56.514213080203994,98.86446853286326,-17.0,1
29,98.53491022585156,127.0614388913799,0.0,1
29,103.37186336401363,125.68499710539592,-8.5,1
29,108.21306477411541,124.31195462658775,-17.0,1
30,60.605945882696716,85.77937413112258,0.0,1
30,58.46263914969845,90.66880664159477,-8.5,1
30,56.33039511187309,95.56973633060883,-17.0,1
31,50.961885737428645,140.6114510368161,0.0,1
31,49.05245546779929,144.14898667124154,-8.5,1
31,47.1345137286937,147.70230086381497,-17.0,1
32,83.13904096034129,143.01684982167362,0.0,1
32,79.75578676615744,144.55156241696568,-8.5,1
32,76.38161007251006,146.08453181573793,-17.0,1
33,12.2992036730394,35.88058733223974,0.0,1
33,12.641666540263785,35.844947009751856,-8.5,1
33,12.99917745843344,35.81096960126636,-17.0,1
34,96.69403813309873,21.509947913941538,0.0,1
34,97.21480137419479,21.48907605502211,-8.5,1
34,97.72462974925317,21.48754967411676,-17.0,1
35,80.97097305701374,90.47770349931872,0.0,1
35,80.83590164781725,91.51403957893629,-8.5,1
35,80.68932917816934,92.54984562486557,-17.0,1
36,120.0855564790843,79.69484126904737,0.0,1
36,109.57423749178699,80.18663959100903,-8.5,1
36,99.06143729728558,80.67440090859769,-17.0,1
37,28.730796410773632,87.87882755756112,0.0,1
37,32.503613078244406,96.91941158776747,-8.5,1
37,36.27531041598265,105.9527796949376,-17.0,1
38,94.03913993658023,49.07246740346075,0.0,1
38,92.54552352662405,45.747527878553264,-8.5,1
38,91.05771393454735,42.41909180220171,-17.0,1
39,13.312571462518523,8.375821943187532,0.0,1
39,6.999250763308834,27.59033442755106,-8.5,1
39,0.6800972632104392,46.79304618493822,-17.0,1
40,101.75401810810709,95.71887829012543,0.0,1
40,102.7597677849987,97.82819017825868,-8.5,1
40,103.7658952080617,99.93884543326828,-17.0,1
41,130.1400453143847,118.1041566595919,0.0,1
41,129.20072275546198,121.97076385649808,-8.5,1
41,128.2623906054033,125.83066225142801,-17.0,1
42,13.823421497310852,83.53423785458251,0.0,1
42,23.2204607120369,83.9054912600236,-8.5,1
42,32.60553987109582,84.26909237131065,-17.0,1
43,18.18149039202193,14.16241102847136,0.0,1
43,21.71324952167168,12.203792785160442,-8.5,1
43,25.25962486984861,10.249675481162699,-17.0,1
44,88.51189169328858,43.907221530610784,0.0,1
44,78.91693136305344,42.30350182828512,-8.5,1
44,69.32115351253877,40.70220182464701,-17.0,1
45,45.65895495715958,51.31473338486044,0.0,1
45,33.64670522980712,46.54379928525501,-8.5,1
45,21.64599996701683,41.765664805085464,-17.0,1
46,101.01933169258871,28.842361194162468,0.0,1
46,107.31591289131634,44.24620338713729,-8.5,1
46,113.60994676558022,59.64588631279226,-17.0,1
47,49.50250627219651,84.45720475274506,0.0,1
47,53.753487196161934,87.32997545673219,-8.5,1
47,58.018034794174916,90.20372478935339,-17.0,1
48,10.199719709578433,72.58389317683503,0.0,1
48,17.1419337727005,76.7107860512771,-8.5,1
48,24.094525818737665,80.84195726265655,-17.0,1
49,54.305060313818295,22.023160459775447,0.0,1
49,43.551484026598466,18.889175750102027,-8.5,1
49,32.77678079836122,15.764178327963744,-17.0,1
50,48.511341127002574,50.43985181473291,0.0,1
50,49.3524833197406,52.58791955063298,-8.5,1
50,50.19658492225317,54.73964480523998,-17.0,1
51,125.14805027681723,127.03906410822323,0.0,1
51,124.80650172288685,130.73154270960762,-8.5,1
51,124.484105663418,134.412558396652,-17.0,1
