event,x_pos,y_pos,z_pos,trk_index,trk_nr
0,73.62889489722285,43.24789010368103,0.0,1,1.0
0,87.93097685953899,50.811562562798514,-8.5,1,1.0
0,102.2135208783374,58.364056570356816,-17.0,1,1.0
1,126.03665952033096,121.96277738216578,0.0,1,1.0
1,78.93550238967116,120.56553012244368,-8.5,1,1.0
1,31.815169562515795,119.16806183738156,-17.0,1,1.0
2,99.13182530356576,141.3659548170553,0.0,1,1.0
2,100.00060293228928,141.79065561894566,-8.5,1,1.0
2,100.88258811828086,142.23865094364922,-17.0,1,1.0
3,97.52245169260684,112.0955628648345,0.0,1,1.0
3,93.7376437762769,113.56874627259664,-8.5,1,1.0
3,89.93929088183559,115.03658004901074,-17.0,1,1.0
4,31.26637666685424,119.0152652724286,0.0,1,1.0
4,35.25171805435133,123.13220332585512,-8.5,1,1.0
4,39.23557663392288,127.2554097501813,-17.0,1,1.0
5,31.30689713856428,144.10743898233332,0.0,1,1.0
5,20.225820434202664,152.20055024475462,-8.5,1,1.0
5,9.158400243288792,160.29857225400892,-17.0,1,1.0
6,64.91974206470448,59.662316886732334,0.0,1,1.0
6,68.25039177580469,59.604037718690286,-8.5,1,1.0
6,71.58177522183685,59.575302148520855,-17.0,1,1.0
7,54.87404576651633,14.18552869025462,0.0,1,1.0
7,61.58918923937831,20.94766565634098,-8.5,1,1.0
7,68.31203585011662,27.700898130645975,-17.0,1,1.0
8,122.17597856056712,120.41040712970792,0.0,1,1.0
8,121.87241280296963,98.14593108453768,-8.5,1,1.0
8,121.56649846269109,75.87193346513146,-17.0,1,1.0
9,38.43533559364667,127.1687963749141,0.0,1,1.0
9,48.927508687074486,116.99688780994478,-8.5,1,1.0
9,59.4136736610108,106.81719683601908,-17.0,1,1.0
10,0.2832265552350087,84.49910866769773,0.0,1,1.0
10,16.141254864930584,82.66604501740765,-8.5,1,1.0
10,31.99475942023635,80.83131697181896,-17.0,1,1.0
11,126.61764168196146,83.81023644383745,0.0,1,1.0
11,129.56247692512304,80.86240481872652,-8.5,1,1.0
11,132.50051042864965,77.92004258660343,-17.0,1,1.0
12,66.56517267968408,106.050731254332,0.0,1,1.0
12,63.60712550018837,107.34833365861186,-8.5,1,1.0
12,60.65309693873985,108.6528238686472,-17.0,1,1.0
13,19.929954048446756,64.17589842511528,0.0,1,1.0
13,58.23685403179207,89.36956536019166,-8.5,1,1.0
13,96.5646949406304,114.5974348170116,-17.0,1,1.0
14,76.79912786858937,119.92491025808428,0.0,1,1.0
14,77.04769697118581,109.69681001049776,-8.5,1,1.0
14,77.28897467988075,99.46771810513236,-17.0,1,1.0
15,62.58040560433435,71.08888200527258,0.0,1,1.0
15,55.9782374387348,75.76475035348386,-8.5,1,1.0
15,49.361836806661856,80.42130744088328,-17.0,1,1.0
16,83.57783940009685,89.89226345524074,0.0,1,1.0
16,67.12820874969485,71.595069333689,-8.5,1,1.0
16,50.6520851030402,53.296787319654165,-17.0,1,1.0
17,60.39173952313851,146.19876772009422,0.0,1,1.0
17,56.93495273236618,146.20632224892907,-8.5,1,1.0
17,53.479137574528,146.20134945421862,-17.0,1,1.0
18,86.44653828080449,124.78528777195932,0.0,1,1.0
18,94.44057381259276,124.17362826446724,-8.5,1,1.0
18,102.43769784412645,123.55070887377308,-17.0,1,1.0
19,30.93860417550837,140.56687080380237,0.0,1,1.0
19,28.200345096355967,142.30447321932547,-8.5,1,1.0
19,25.445037699989808,144.02370387909724,-17.0,1,1.0
20,85.53643046839343,122.90451439483304,0.0,1,1.0
20,85.96497106519183,110.81645444134418,-8.5,1,1.0
20,86.37663772785362,98.72461016191754,-17.0,1,1.0
21,104.14618994078428,14.004594205876478,0.0,1,1.0
