event,x_pos,y_pos,z_pos,trk_index
0,88.12807290661519,88.31632187845933,0.0,1
0,64.33305031757358,108.90494910112477,-8.5,1
0,40.50699183560441,129.49211020136522,-17.0,1
0,91.72879305928905,110.18829195509454,0.0,2
0,92.11848044850085,116.16676065823118,-8.5,2
0,92.52116561038181,122.1783166634709,-17.0,2
0,44.31168970764461,144.61648041303883,0.0,3
0,42.42583865098387,112.87613972634087,-8.5,3
0,40.54318707274862,81.1568491296023,-17.0,3
0,104.80542776518296,48.98134283963705,0.0,4
0,103.12286641272678,52.96434806358618,-8.5,4
0,101.43299986773401,56.97144423603271,-17.0,4
0,68.00539974445222,144.55981828754653,0.0,5
0,87.77263472617,156.89279883653086,-8.5,5
0,107.53319579302321,169.2290456892531,-17.0,5
0,107.54930755149864,9.967726680617,0.0,6
0,109.7523050184571,10.507912713382234,-8.5,6
0,111.93415766191174,11.04578957045825,-17.0,6
1,24.80145770606057,77.69762266917284,0.0,1
1,21.41162381607574,78.79721147451771,-8.5,1
1,18.045463596203323,79.88636972454248,-17.0,1
1,75.65883071548262,37.58469827070125,0.0,2
1,58.33386281031746,47.60053709440208,-8.5,2
1,41.01671333001468,57.59599624070943,-17.0,2
1,41.67552638246487,9.885234960697153,0.0,3
1,31.70660380345017,12.32519260678238,-8.5,3
1,21.716677515199255,14.765316974164532,-17.0,3
1,25.716766144371302,72.24636449426279,0.0,4
1,34.45597507870521,74.60003578450224,-8.5,4
1,43.1905835917993,76.9425412779851,-17.0,4
1,49.07556263402712,50.33437318685843,0.0,5
1,49.467182429674466,50.76287134934807,-8.5,5
1,49.852159352212404,51.17394349730212,-17.0,5
1,93.83770805805905,115.77779397481018,0.0,6
1,100.06432689743176,112.19775831895662,-8.5,6
1,106.2905516208154,108.59663858578546,-17.0,6
2,69.44135256860385,77.576541880256,0.0,1
2,64.09160736805366,77.48960548771548,-8.5,1
2,58.7348458290638,77.38015921579483,-17.0,1
2,83.11380629144088,87.92506239817877,0.0,2
2,90.90741946098913,93.51625053321287,-8.5,2
2,98.70987690964358,99.09672252296092,-17.0,2
2,145.94918360169373,8.268170814792342,0.0,3
2,142.3697060188633,7.704726631675718,-8.5,3
2,138.78012664326346,7.156863428322125,-17.0,3
2,137.61171663869504,5.206563273359671,0.0,4
2,137.2491501758126,5.152642425854542,-8.5,4
2,136.87420418040725,5.093926320512794,-17.0,4
2,90.72215938978144,133.29800720501146,0.0,5
2,79.06647116819266,143.61560552539018,-8.5,5
2,67.42704041826596,153.92005169203645,-17.0,5
2,94.16851379710808,121.23661618501282,0.0,6
2,96.98410603086747,91.14787169959438,-8.5,6
2,99.81190918291259,61.0645832816546,-17.0,6
3,112.13196451357491,51.569931400619836,0.0,1
3,92.72656327559392,56.900040700352235,-8.5,1
3,73.34605142799191,62.212375416232554,-17.0,1
3,80.50533617148919,78.72435803349624,0.0,2
3,72.83897149757506,85.3431346030915,-8.5,2
3,65.17691880003824,91.94270993581704,-17.0,2
3,149.18010675161372,89.64650823008546,0.0,3
3,127.81160399530046,127.70555148176201,-8.5,3
3,106.45150978934497,165.7604123223633,-17.0,3
3,4.185909778467432,51.41659601059747,0.0,4
3,5.0467754885649265,44.23312428938254,-8.5,4
3,5.911185527084646,37.044585015148215,-17.0,4
3,35.8752659332421,131.50559553687816,0.0,5
3,40.47948039392497,132.87652556154225,-8.5,5
3,45.08058629960831,134.266968999111,-17.0,5
3,143.71651636085988,142.35009399483113,0.0,6
3,145.9707631092069,149.1753894275576,-8.5,6
