event,x_pos,y_pos,z_pos,trk_index
0,135.09564809021396,22.518526029292655,0.0,1
0,134.91406302772407,22.60623432409991,-8.5,1
0,134.74242352733992,22.665699718542957,-17.0,1
0,98.67340255518835,14.698773622435485,0.0,2
0,113.9045697444093,26.57142563157418,-8.5,2
0,129.15085370040532,38.43619351458511,-17.0,2
0,37.57166276590574,83.99699476066152,0.0,3
0,37.344175259453834,83.68439811209082,-8.5,3
0,37.11005672875805,83.38123975404496,-17.0,3
0,29.31980802101605,92.5330401102772,0.0,4
0,15.090429295228386,57.479529341914635,-8.5,4
0,0.8543916325256438,22.40937231233204,-17.0,4
1,4.495922353586927,54.441328060637986,0.0,1
1,4.877155247476426,52.1916458499922,-8.5,1
1,5.254138900225697,49.96113216650517,-17.0,1
1,129.4292997996722,149.4104947423069,0.0,2
1,129.38883308353718,147.53252492859667,-8.5,2
1,129.33903794316893,145.67572828499664,-17.0,2
1,50.54265946794706,71.31496772923467,0.0,3
1,31.403949652906324,76.30633062488752,-8.5,3
1,12.26176237281512,81.29631739229966,-17.0,3
1,109.77753969114386,11.843047622303391,0.0,4
1,107.5196020546518,18.593170771512597,-8.5,4
1,105.26994912086224,25.344010189938086,-17.0,4
2,69.73069070145672,5.022347639242671,0.0,1
2,62.44118433781209,5.2601516496445155,-8.5,1
2,55.14732476508993,5.489085173194965,-17.0,1
2,106.8022136573678,40.326864314905826,0.0,2
2,127.99437474349929,27.227219258903446,-8.5,2
2,149.18554770556983,14.10414133799608,-17.0,2
2,121.23026155263376,52.32003039110633,0.0,3
2,119.89078409515427,50.16467040834255,-8.5,3
2,118.56378560947576,48.003019640689864,-17.0,3
2,79.91569843352214,110.86173168823164,0.0,4
2,81.23361275015743,109.12715588704272,-8.5,4
2,82.54038785657853,107.38794105843677,-17.0,4
3,67.21781678308513,131.88185279212522,0.0,1
3,34.85781076622433,141.2619053062956,-8.5,1
3,2.5080839005203215,150.6361304220744,-17.0,1
3,28.20623368990618,25.44745278912864,0.0,2
3,30.706211716148882,26.157046492750066,-8.5,2
3,33.206630175467744,26.87784836399078,-17.0,2
3,143.82643266050363,109.10344905358947,0.0,3
3,136.2946479076139,108.89684999403396,-8.5,3
3,128.76204918174125,108.7106938600631,-17.0,3
3,61.01530333607088,71.04045329920038,0.0,4
3,55.58125359223897,72.25557296759469,-8.5,4
3,50.15412983746772,73.49207888726495,-17.0,4
4,76.51558210691452,47.95109123399718,0.0,1
4,77.33013329343206,54.78890127457619,-8.5,1
