event,x_pos,y_pos,z_pos,trk_index,trk_nr
0,20.563353597471878,122.46302750591909,0.0,1,1.0
0,23.21316449364758,124.85250071911194,-8.5,1,4.0
0,25.855703966768665,127.24039907256766,-17.0,1,4.0
0,65.5831402105422,133.8843754351173,0.0,2,-1.0
0,62.69456381661964,141.6001803927793,-8.5,2,1.0
0,59.81027309669563,149.31590474808075,-17.0,2,5.0
0,31.47948001621856,46.16081213321984,0.0,3,2.0
0,28.831978011966942,46.1011999976477,-8.5,3,2.0
0,26.188521186610377,46.03921733694048,-17.0,3,2.0
0,45.28576819959508,120.7238372914605,0.0,4,1.0
0,43.59835162685073,120.25714875979028,-8.5,4,3.0
0,41.91128283291134,119.76812977972486,-17.0,4,3.0
0,35.651206149916284,144.88641711396286,0.0,5,5.0
0,28.905137770378968,143.06710559650685,-8.5,5,1.0
0,22.160151481173504,141.2538820672851,-17.0,5,-1.0
1,110.70052044930569,123.14344483103756,0.0,1,3.0
1,109.58411386369988,117.99370064102294,-8.5,1,3.0
1,108.46181224791432,112.83846333658728,-17.0,1,3.0
1,60.367882518367736,4.8605927762308925,0.0,2,2.0
1,54.46400091434153,4.604639405766876,-8.5,2,2.0
1,48.56648583125893,4.350337202838762,-17.0,2,2.0
1,77.67005138947827,76.9760045663316,0.0,3,4.0
1,76.33311276931393,91.98380604157644,-8.5,3,4.0
1,75.01457406966031,106.98546633394214,-17.0,3,4.0
1,9.557969602515994,65.00410414683813,0.0,4,1.0
1,15.048491879286328,58.22665077504032,-8.5,4,1.0
1,20.544174495971625,51.45034766150361,-17.0,4,1.0
1,11.44327081201347,62.050414495058334,0.0,5,1.0
1,8.626639470134295,58.536932412562415,-8.5,5,-1.0
1,5.80138211453263,55.00982388471083,-17.0,5,-1.0
2,101.2501354747496,19.29319822098993,0.0,1,4.0
2,117.30211456579678,27.853134474190448,-8.5,1,4.0
2,133.3631474071012,36.399487008844325,-17.0,1,4.0
2,15.840224604760806,78.98663578330442,0.0,2,2.0
2,21.297405209798,78.86027702774581,-8.5,2,2.0
2,26.75299236802165,78.74189946211139,-17.0,2,2.0
2,120.69677443719787,98.87922069980031,0.0,3,5.0
2,133.82189371890738,122.9739890560502,-8.5,3,5.0
2,146.94888852275162,147.06762927204232,-17.0,3,5.0
2,53.11759520425005,24.88312891499669,0.0,4,1.0
2,62.77247739480673,24.733730842627907,-8.5,4,1.0
2,72.41890163743122,24.59306221863573,-17.0,4,1.0
2,16.555862022537266,114.74954555423912,0.0,5,3.0
2,34.95551932483572,116.57148591055142,-8.5,5,3.0
2,53.35767378106773,118.39028040699829,-17.0,5,3.0
3,23.807119019715323,114.22996961141182,0.0,1,3.0
3,25.907320407329934,115.99147798079386,-8.5,1,3.0
3,27.996028244657044,117.7467600536708,-17.0,1,3.0
3,84.39100018032063,5.541210517478186,0.0,2,4.0
3,73.5998012940868,7.399813734985684,-8.5,2,4.0
3,62.82167271060395,9.26007247597994,-17.0,2,4.0
3,102.7247866970874,1.114534128591791,0.0,3,2.0
3,103.68979356272672,6.216522238981888,-8.5,3,2.0
3,104.67060131217411,11.301487891225984,-17.0,3,2.0
3,31.02778272954362,106.82313170382623,0.0,4,-1.0
3,28.6116985780332,108.80017191863982,-8.5,4,-1.0
3,26.18473463135709,110.76185806146154,-17.0,4,3.0
3,129.5636776175147,122.064139050683,0.0,5,1.0
3,129.49608387584024,121.7351387342234,-8.5,5,1.0
3,129.433746067235,121.39537610366142,-17.0,5,1.0
4,121.24119059808706,70.42736072825578,0.0,1,5.0
4,97.66136092218224,111.21128689088695,-8.5,1,5.0
4,74.0910030915939,151.99792063407153,-17.0,1,5.0
4,19.031417524624445,86.44164722993489,0.0,2,1.0
4,19.299269384572437,87.24232103979315,-8.5,2,1.0
4,19.5568603643619,88.02455331497588,-17.0,2,1.0
4,17.6110814779481,78.38978881725588,0.0,3,3.0
4,16.194252062084406,75.98673934640603,-8.5,3,3.0
4,14.77522835391595,73.57906387888298,-17.0,3,3.0
4,40.63223992130018,58.26021356004033,0.0,4,4.0
4,39.11732883028717,55.50559506672717,-8.5,4,4.0
4,37.59946441290159,52.72874694486714,-17.0,4,4.0
4,83.37564939149713,9.445872519414817,0.0,5,2.0
4,82.42602469078602,13.90907279078925,-8.5,5,2.0
4,81.49587267896058,18.363634709760124,-17.0,5,2.0
5,28.008285928358323,84.22944528312992,0.0,1,5.0
5,27.65005989395023,83.86134335582435,-8.5,1,5.0
5,27.29837873299187,83.4731155098854,-17.0,1,5.0
5,56.97957342998678,107.64314760903092,0.0,2,2.0
5,56.31169874904835,110.2056260849226,-8.5,2,2.0
5,55.64681218302435,112.76676073342811,-17.0,2,2.0
5,49.8199525640729,75.07140792754612,0.0,3,4.0
5,52.92432771297764,73.71065863877823,-8.5,3,4.0
5,56.04019179850677,72.35564284194929,-17.0,3,4.0
5,16.11970724952651,13.461562344154956,0.0,4,3.0
5,18.105189386121435,17.253980447969337,-8.5,4,3.0
5,20.09732404591627,21.061284476975253,-17.0,4,3.0
5,115.18600937212896,3.997680091049922,0.0,5,1.0
5,115.40431796369916,4.513773709738084,-8.5,5,1.0
5,115.63273921750164,5.02623432055679,-17.0,5,1.0
6,111.39173112875268,51.373592661997485,0.0,1,4.0
6,130.57703379119172,49.93889192575299,-8.5,1,4.0
6,149.7516061697102,48.49032249667484,-17.0,1,4.0
6,5.26792201331094,107.92717007976523,0.0,2,5.0
6,18.217569399692213,125.87749339782914,-8.5,2,5.0
6,31.182755206317637,143.82637516088212,-17.0,2,5.0
6,92.4624181406236,113.11357413999772,0.0,3,3.0
6,88.3910456429742,118.26081734233676,-8.5,3,3.0
6,84.3180268188612,123.40393985282132,-17.0,3,3.0
6,50.67764474343307,17.666684363427315,0.0,4,2.0
6,49.70526410138337,19.0345631290757,-8.5,4,2.0
6,48.72457037084425,20.389379805962747,-17.0,4,2.0
6,51.19087771616555,55.28603880182494,0.0,5,1.0
6,39.168773117361006,55.295269002322414,-8.5,5,1.0
6,27.15714794563941,55.31240740300515,-17.0,5,1.0
7,140.08156745385776,140.89513552342328,0.0,1,3.0
7,141.8782280680977,130.23991977467088,-8.5,1,3.0
7,143.65372709448357,119.58174139309,-17.0,1,3.0
7,127.57852639880544,12.341896014389429,0.0,2,2.0
7,126.516139399527,28.985456369753017,-8.5,2,2.0
7,125.46541864171576,45.60510044056146,-17.0,2,2.0
7,7.394985884721188,74.68254990904944,0.0,3,1.0
7,7.605818380665945,75.81938921145746,-8.5,3,1.0
7,7.8103874975372,76.96295445674306,-17.0,3,1.0
7,121.6462226672427,111.9155549766462,0.0,4,4.0
7,111.35757229239694,108.84549511325253,-8.5,4,4.0
7,101.08170800357806,105.76725245750544,-17.0,4,4.0
7,7.275182992067519,38.70901807117053,0.0,5,5.0
7,7.187707768554872,38.59083925882665,-8.5,5,5.0
7,7.099250761457937,38.47370655862759,-17.0,5,5.0
8,66.30395663037302,16.14145690299042,0.0,1,2.0
8,68.12811765995855,17.215160833473785,-8.5,1,2.0
8,69.94168460175945,18.27251622865144,-17.0,1,2.0
8,90.12943068125686,123.08148501826076,0.0,2,5.0
8,89.7529871315093,133.41114905654663,-8.5,2,5.0
8,89.38809201098017,143.73303760237866,-17.0,2,5.0
8,133.61725462538146,26.479951684087997,0.0,3,1.0
8,134.37560803870178,24.03813203884358,-8.5,3,1.0
8,135.15177943232504,21.624259195405468,-17.0,3,1.0
8,122.49219853418558,24.435318507667727,0.0,4,3.0
8,125.37761202225556,24.619869257922986,-8.5,4,3.0
8,128.25422960391302,24.80389211646953,-17.0,4,3.0
8,58.97664672781261,99.7532032164189,0.0,5,4.0
8,58.764415732550496,106.40705172941291,-8.5,5,4.0
8,58.56069646310465,113.04249895244445,-17.0,5,4.0
9,12.028787111673218,131.2870510450664,0.0,1,5.0
9,11.523071699892192,131.0781544534458,-8.5,1,5.0
9,11.027108266447588,130.8757477846923,-17.0,1,5.0
9,58.499350851410966,58.65881101150331,0.0,2,3.0
9,76.2863096701239,57.32297848387414,-8.5,2,3.0
9,94.064099787275,56.01101348612583,-17.0,2,3.0
9,93.24126492249091,149.09643060152746,0.0,3,2.0
9,100.87827689488124,152.80796050278687,-8.5,3,2.0
9,108.526601341751,156.51827428041707,-17.0,3,2.0
9,73.5361476019871,76.84792375826298,0.0,4,4.0
9,71.49117279850479,75.99982567941922,-8.5,4,4.0
9,69.43142708946348,75.1504035916014,-17.0,4,4.0
9,88.6918974708709,143.06377952896116,0.0,5,1.0
9,88.59847726848898,144.9090438954927,-8.5,5,1.0
9,88.50950437767283,146.75783363785945,-17.0,5,1.0
10,96.5185337722847,59.30622031255042,0.0,1,3.0
10,84.67584733661718,51.65465566865036,-8.5,1,3.0
10,72.82245167602042,44.01837751986852,-17.0,1,3.0
10,2.455333708109068,109.646306132534,0.0,2,-1.0
10,2.765871479136555,109.48240406851129,-8.5,2,-1.0
10,3.0687740259666176,109.31018169825784,-17.0,2,1.0
