event,x_pos,y_pos,z_pos,trk_index,trk_nr
0,104.00595230061292,111.14150540843907,0.0,1,1.0
0,100.33194472870726,115.65864862799738,-8.5,1,1.0
0,96.65398710961088,120.14735095261776,-17.0,1,1.0
0,122.35466768303284,8.739623060884302,0.0,2,2.0
0,127.12260658250425,4.633477533777611,-8.5,2,2.0
0,131.89512685966494,0.5374441576856661,-17.0,2,2.0
1,39.95392207824181,35.47025049086915,0.0,1,1.0
1,34.56736171018986,38.52571010165892,-8.5,1,1.0
1,29.19459641169929,41.594180210081184,-17.0,1,1.0
1,39.22744143503957,36.01149147533762,0.0,2,1.0
1,50.79080881282505,49.11274439711756,-8.5,2,-1.0
1,62.365835103948754,62.23987685276072,-17.0,2,-1.0
2,48.053129669107385,112.24287093639686,0.0,1,2.0
2,71.30135516293568,64.87401140028349,-8.5,1,2.0
2,94.56491848821264,17.500873767194253,-17.0,1,2.0
2,62.18293827719292,114.65813798587168,0.0,2,1.0
2,63.69552334072724,121.64043080907214,-8.5,2,1.0
2,65.23127914107562,128.63644103423584,-17.0,2,1.0
3,20.3238672015786,121.72011856079982,0.0,1,2.0
3,16.21538348993203,121.81780507073414,-8.5,1,2.0
3,12.118776502441063,121.92065973540964,-17.0,1,2.0
3,88.80907802280704,47.54580068657504,0.0,2,1.0
3,87.70930965881814,50.27858678431605,-8.5,2,1.0
3,86.60668020780348,53.00555819191289,-17.0,2,1.0
4,51.03847367861475,123.42220825433785,0.0,1,1.0
4,40.64163922053349,126.4573653307402,-8.5,1,1.0
4,30.25045305943257,129.48161301400387,-17.0,1,1.0
4,80.93087798240256,79.79268327804941,0.0,2,2.0
4,80.42953448381878,78.8757332221891,-8.5,2,2.0
4,79.94450000956338,77.95802733066868,-17.0,2,2.0
5,138.60497079236166,59.883732658198895,0.0,1,1.0
5,143.35261404804243,43.20529110203246,-8.5,1,1.0
5,148.11300456862972,26.519964205271616,-17.0,1,1.0
5,97.95187872210217,61.5098917755214,0.0,2,2.0
5,96.47728525182558,62.89949794422119,-8.5,2,2.0
5,95.005920902527,64.27982136079844,-17.0,2,2.0
6,79.3198053401934,15.573548132291842,0.0,1,1.0
6,64.33770970723224,22.52283999944428,-8.5,1,1.0
6,49.37175063546084,29.455710036679005,-17.0,1,1.0
6,118.24622775275576,11.241244587610522,0.0,2,2.0
6,116.7381620636779,10.927594902472846,-8.5,2,2.0
6,115.23578933880626,10.626491990755072,-17.0,2,2.0
7,104.76250898649324,76.81931094362012,0.0,1,2.0
7,103.77187220053835,77.32004590704067,-8.5,1,2.0
7,102.80344508022752,77.83879025788703,-17.0,1,2.0
7,54.75341434075106,22.92873401634864,0.0,2,1.0
7,53.15774876349314,21.29675308920749,-8.5,2,1.0
7,51.55073285882805,19.65977708816551,-17.0,2,1.0
8,49.93744136246656,24.841657036899274,0.0,1,1.0
8,59.71843138849169,22.22174361057676,-8.5,1,1.0
8,69.4746714009334,19.608910721287096,-17.0,1,1.0
8,111.50588619741424,19.51473271884707,0.0,2,2.0
8,117.42631672983066,20.503127826374776,-8.5,2,2.0
8,123.36539079689712,21.486845810480997,-17.0,2,2.0
9,30.46429099167701,111.23828412468109,0.0,1,1.0
9,36.14191944658055,111.1457993196007,-8.5,1,1.0
9,41.82008267678821,111.0513216778497,-17.0,1,1.0
9,31.207897103534982,149.02002897662305,0.0,2,2.0
9,33.37033631941457,156.20007734826427,-8.5,2,2.0
9,35.52150969992501,163.39631248011784,-17.0,2,2.0
10,136.3273067658296,48.56294586894948,0.0,1,1.0
10,136.02672901151632,49.3430804465058,-8.5,1,1.0
10,135.71864348065262,50.12084902028122,-17.0,1,1.0
10,52.76389305304061,111.93980131396208,0.0,2,2.0
10,63.72454730945686,81.33024213091885,-8.5,2,2.0
10,74.69724969604769,50.71167556626983,-17.0,2,2.0
11,83.9235058465317,9.746023034867974,0.0,1,2.0
11,81.85618122255886,9.343792248642332,-8.5,1,2.0
11,79.80261431055465,8.948873823623853,-17.0,1,2.0
11,51.49695682308207,128.90659126762384,0.0,2,1.0
11,83.77252240794887,114.20694178760196,-8.5,2,1.0
11,116.0417076989392,99.53465740010104,-17.0,2,1.0
12,73.72489115950594,28.522012238589834,0.0,1,1.0
12,73.52163239615511,28.902347421417552,-8.5,1,1.0
12,73.32507933924506,29.271551317581583,-17.0,1,1.0
12,125.72194253206231,48.50965319454281,0.0,2,2.0
12,128.57364692418372,43.76053435894126,-8.5,2,2.0
12,131.4341923624565,39.00591905533752,-17.0,2,2.0
13,130.54449004198673,122.2751028871688,0.0,1,1.0
13,133.1489033025799,116.69914443663993,-8.5,1,1.0
13,135.74468660587982,111.13678389948612,-17.0,1,1.0
13,135.8096545912591,0.9087750157452154,0.0,2,2.0
13,100.46397430775532,50.13545401329718,-8.5,2,2.0
13,65.11426675000615,99.35624221028908,-17.0,2,2.0
14,51.46498290495512,93.73875572595466,0.0,1,1.0
14,38.32067679100928,84.42915670727662,-8.5,1,1.0
14,25.151439230175345,75.10901489128725,-17.0,1,1.0
14,23.013728246560408,146.37549047979934,0.0,2,2.0
14,23.792237636209457,144.84545651179363,-8.5,2,2.0
14,24.57694457215321,143.32996133550142,-17.0,2,2.0
15,83.29045711206228,124.89690000318828,0.0,1,2.0
15,84.49771117471145,126.0286115494828,-8.5,1,2.0
15,85.69137981877508,127.16846612658108,-17.0,1,2.0
